TECH_PARAM_DEC_ID;TECH_PARAM_MSG_ID;TECH_PARAM_MSG_LABEL;TECH_PARAM_NAME;TECH_PARAM_DESCRIPTION
600020;6000;Internal relative humidity (%);TECH_AUX_RATE_InitialCheckInternalHumidity_percent;Internal relative humidity sampled during initial check.
600021;6000;GNSS result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_InitialCheckFailedGnss_LOGICAL;Result of initial check of Global Navigation Satellite System (0: ok, 1: error).
600022;6000;Modem result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_InitialCheckFailedModem_LOGICAL;Result of initial check of modem (0: ok, 1: error).
600023;6000;;FLAG_InitialCheckError_LOGICAL;Auto-test is performed at the beginning of the mission: Flag 0 = Problem, 1 = OK)
600100;6001;Fast pressure result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_CtdInitialCheckFailedFastPressure_LOGICAL;Result of initial check of CTD fast pressure command (0: ok, 1: error).
600101;6001;Fast pressure (dbar);TECH_AUX_PRESSURE_CtdInitialCheckFastPressure_dbar;Fast pressure sampled during initial check.
600102;6001;CTD measurement result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_CtdInitialCheckFailed_LOGICAL;Result of initial check of CTD sensor (0: ok, 1: error).
600103;6001;CTD Pressure (dbar);TECH_AUX_PRESSURE_CtdInitialCheck_dbar;Pressure sampled during initial check.
600104;6001;CTD temperature (°C);TECH_AUX_TEMPERATURE_CtdInitialCheck_degC;Temperature sampled during initial check.
600105;6001;CTD salinity (PSU);TECH_AUX_PSAL_CtdInitialCheck_psu;Salinity sampled during initial check.
600200;6002;Measurement result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_OptodeInitialCheckFailed_LOGICAL;Result of initial check of optode sensor (0: ok, 1: error).
600300;6003;Fast pressure result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_CtdInitialCheckFailedFastPressure_LOGICAL;Result of initial check of CTD fast pressure command (0: ok, 1: error).
600301;6003;Fast pressure (dbar);TECH_AUX_PRESSURE_CtdInitialCheckFastPressure_dbar;Fast pressure sampled during initial check.
600302;6003;CTD measurement result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_CtdInitialCheckFailed_LOGICAL;Result of initial check of CTD sensor (0: ok, 1: error).
600303;6003;CTD pressure (dbar);TECH_AUX_PRESSURE_CtdInitialCheck_dbar;Pressure sampled during initial check.
600304;6003;CTD temperature (°C);TECH_AUX_TEMPERATURE_CtdInitialCheck_degC;Temperature sampled during initial check.
600305;6003;CTD salinity (PSU);TECH_AUX_PSAL_CtdInitialCheck_psu;Salinity sampled during initial check.
600306;6003;CTD coils temperature (°C);TECH_AUX_TEMPERATURE_CtdInitialCheckCoilsTemperature_degC;Coils temperature (TEMP_CNDC) sampled during initial check.
600307;6003;CTD corrected salinity (PSU);TECH_AUX_PSAL_CtdInitialCheckPsalCor_psu;Corrected salinity (PSAL_DynamicCorrection) sampled during initial check.
610000;6100;Result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_InitialCheckFailedFramMemory_LOGICAL;Result of initial check of FRAM memory (0: ok, 1: error).
610100;6101;Result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_InitialCheckFailedFlashMemory_LOGICAL;Result of initial check of FLASH memory (0: ok, 1: error).
610200;6102;State (0: error, 1: ok, 2: not present);TECH_AUX_DIAGNOSTIC_InitialCheckFailedSdCard_NUMBER;Result of initial check of SD card (0: ok, 1: error, 2: not present).
610300;6103;Result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_InitialCheckFailedXmlSettings_LOGICAL;Result of initial check of XML settings (0: ok, 1: error).
610400;6104;Result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_InitialCheckFailedRtc_LOGICAL;Result of initial check of RTC (0: ok, 1: error).
610401;6104;RTC date/Time (in second since 2000);TECH_AUX_DIAGNOSTIC_InitialCheck_YYYYMMDDHHSSMM;Time of initial check.
610500;6105;Result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_InitialCheckFailedInsulation_LOGICAL;Result of initial check of insulation (0: ok, 1: error).
610501;6105;Value;TECH_AUX_VOLTAGE_InitialCheckInsulation;Insulation value sampled during initial check.
610600;6106;Result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_InitialCheckFailedBattery_LOGICAL;Result of initial check of battery (0: ok, 1: error).
610601;6106;On load battery voltage (mV);TECH_AUX_VOLTAGE_InitialCheckBattery_volts;Battery voltage sampled on load (while pump is activated) during initial check.
610700;6107;Result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_InitialCheckFailedValve_LOGICAL;Result of initial check of valve (0: ok, 1: error).
610800;6108;Result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_InitialCheckFailedPump_LOGICAL;Result of initial check of pump (0: ok, 1: error).
610900;6109;Result flag (0: error, 1: ok);TECH_AUX_DIAGNOSTIC_InitialCheckFailedEmptyBallast_LOGICAL;Result of initial check of empty ballast (0: ok, 1: error).
610901;6109;Max buoyancy pumping duration (s);TECH_AUX_TIME_InitialCheckMaxPumpDuration_seconds;Pump activation time to reach max buoyancy.
