CONF_PARAM_DEC_ID;CONF_PARAM_LABEL;CONF_PARAM_DEFINITION;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
SENSORS-SENSORXX-DESCENT-ZONEN.P3;Zone N - Processing type (00: raw, 80: raw decimated, 81: average decimated);Zone N - Processing type (00: raw, 80: raw decimated, 81: average decimated);CONFIG_AUX_<short_sensor_name>DescentPhasesDepthZone<N>DataProcessingMode_NUMBER;Data processing output of the <short_sensor_name> in the depth zone #<N> during the descent phases (00: raw, 80: raw decimated, 81: average decimated).
SENSORS-SENSORXX-DESCENT-ZONEN.P4;Zone N - Slice thickness (dbar);Zone N - Slice thickness (dbar);CONFIG_AUX_<short_sensor_name>DescentPhasesDepthZone<N>SlicesThickness_dbar;Slices thickness for <short_sensor_name> in the depth zone #<N> during the descent phases (in dbar).
SENSORS-SENSORXX-DESCENT-ZONEN.P5;Zone N - Number of samples in spot sampling mode per slice;Zone N - Number of samples in spot sampling mode per slice;CONFIG_AUX_<short_sensor_name>DescentPhasesDepthZone<N>Sample_NUMBER;"Number of samples acquired in ""spot sampling"" mode by <short_sensor_name> in the depth zone #<N> during the descent phases."
SENSORS-SENSORXX-ASCENT.P0;Enable/disable acquisition on “ascent”;Enable/disable acquisition on “ascent”;CONFIG_AUX_<short_sensor_name>AscentPhaseEnableAcquisition_LOGICAL;Enable/disable acquisition during “ascent” phase.
SENSORS-SENSORXX-ASCENT-ZONEN.P0;Zone N - Pressure threshold between zone N and zone N+1;Zone N - Pressure threshold between zone N and zone N+1;CONFIG_AUX_<short_sensor_name>AscentPhasesDepthZone<N>DepthZone<N+1>PressureThreshold_dbar;Threshold between depth zone #N and depth zone #N+1 for <short_sensor_name> in the ascent phase (in dbar).
SENSORS-SENSORXX-ASCENT-ZONEN.P1;Zone N - Sampling period (s);Zone N - Sampling period (s);CONFIG_<short_sensor_name>AscentPhaseDepthZone<N>SamplingPeriod_dbar;Sampling period for the depth zone #<N> of the <short_sensor_name> sensor while sampling during the ascent phase of the cycle.
SENSORS-SENSORXX-ASCENT-ZONEN.P2;Zone N - Acquisition type (0: none, 1: continu, 2: pulsed, 3: spot sampling);Zone N - Acquisition type (0: none, 1: continu, 2: pulsed, 3: spot sampling);CONFIG_<short_sensor_name>AscentPhaseDepthZone<N>PowerAcquisitionMode_NUMBER;Power acquisition mode for the depth zone #<N> of the <short_sensor_name> sensor while sampling during the ascent phase of the cycle.
SENSORS-SENSORXX-ASCENT-ZONEN.P3;Zone N - Processing type (00: raw, 80: raw decimated, 81: average decimated);Zone N - Processing type (00: raw, 80: raw decimated, 81: average decimated);CONFIG_AUX_<short_sensor_name>AscentPhaseDepthZone<N>DataProcessingMode_NUMBER;Data processing output of the <short_sensor_name> in the depth zone #<N> during the ascent phase (00: raw, 80: raw decimated, 81: average decimated).
SENSORS-SENSORXX-ASCENT-ZONEN.P4;Zone N - Slice thickness (dbar);Zone N - Slice thickness (dbar);CONFIG_AUX_<short_sensor_name>AscentPhaseDepthZone<N>SlicesThickness_dbar;Slices thickness for <short_sensor_name> in the depth zone #<N> during the ascent phase (in dbar).
SENSORS-SENSORXX-ASCENT-ZONEN.P5;Zone N - Number of samples in spot sampling mode per slice;Zone N - Number of samples in spot sampling mode per slice;CONFIG_AUX_<short_sensor_name>AscentPhaseDepthZone<N>Sample_NUMBER;"Number of samples acquired in ""spot sampling"" mode by <short_sensor_name> in the depth zone #<N> during the ascent phase."
SENSORS-SENSORXX-PARK_DRIFT.P0;Sampling period (s);Sampling period (s);CONFIG_<short_sensor_name>DriftAtParkPresSamplingPeriod_seconds;Sampling period of the <short_sensor_name> during the drift at parking pressure (in minutes).
SENSORS-SENSORXX-PROF_DRIFT.P0;Sampling period (s);Sampling period (s);CONFIG_<short_sensor_name>DriftAtProfilePresSamplingPeriod_minutes;Sampling period of the <short_sensor_name> during the drift at profile pressure (in minutes).
SENSORS-SENSORXX-IN_AIR.P0;Sampling period (s);Sampling period (s);CONFIG_<short_sensor_name>InAirMeasurementSamplingPeriod_seconds;"Sampling period for the <short_sensor_name> sensor during the ""in air measurement"" phase."
SENSORS-SENSORXX-IN_AIR.P1;Acquisition type (0: none, 1: continu, 2: pulsed);Acquisition type (0: none, 1: continu, 2: pulsed);CONFIG_AUX_<short_sensor_name>InAirMeasurementPowerAcquisitionMode_NUMBER;"Power acquisition mode of the <short_sensor_name> during the ""in air measurement"" phase (0 : none, 1 : continuous, 2 : pulsed)."
SENSORS-SENSORXX-TECHNICAL.P0;Warmup delay (s);Warmup delay (s);CONFIG_<short_sensor_name>WarmUpTime_seconds;Time, needed after the <short_sensor_name> is powered ON, to provide its first sample (in milli-seconds).
SENSORS-SENSORXX-TECHNICAL.P1;Power-off delay (s);Power-off delay (s);CONFIG_<short_sensor_name>PowerSwitchDelayMin_seconds;Minimum waiting time needed by the <short sensor name> between a switch OFF and a switch ON (in milli-seconds).
SENSORS-SENSORXX-TECHNICAL.P2;Theorical delay between 2 samples (s);Theorical delay between 2 samples (s);CONFIG_AUX_<short_sensor_name>MinDelayBetweenTwoSamples_seconds;Minimum delay between 2 samples of the <short sensor name>.
SENSORS-SENSORXX-TECHNICAL.P3;Index of 1st sample valid;Index of 1st sample valid;CONFIG_<short_sensor_name>FirstValidSample_NUMBER;Rank of the first valid sample provided by the <short_sensor_name> (0 is the rank of the first sample).
SENSORS-SENSOR01-SPECIFIC.P0;Cut-off pressure (dbar);Cut-off pressure (dbar);CONFIG_CTDPumpStopPressure_dbar;The pressure at which the CTD pump is switched off.  As the float ascends, the code looks at the pressure and if <= CONFIG_CTDPumpStopPressure, the CTD is turned off. CTDPumpStopPressure is a firmware threshold and as such, data may continue to be collected for a limited span after the threshold is recognized. Especially in floats that return high resolution discrete data, there might be data collected shallower than the cut off, due to the discrete nature of the pressure data and also due to the time necessary for the firmware to turn off the CTD once the pressure threshold is reached. For example for SOLOII floats the CTD is switched off at 1dbar, and typically the shallowest data is from 0.5 to 0.8 dbar. This shallow data should be carefully assessed for its validity.
ICE.P0;Key validating the option activation;Key validating the option activation;CONFIG_AUX_IceDetectionValidationKey_NUMBER;Key validating the ice detection activation.
ICE.P1;Enable/disable ice detection;Enable/disable ice detection;CONFIG_AUX_EnableIceDetection_LOGICAL;Enable/disable ice detection.
ICE.P2;Monthly calendar activation (12bits with: BIT11 = January, ..., BIT0 = December);Monthly calendar activation (12bits with: BIT11 = January, ..., BIT0 = December);CONFIG_BitMaskMonthsIceDetectionActive_NUMBER;When is ice detection active - months in reverse order
ICE.P3;Breakup period (days);Breakup period (days);CONFIG_IceDetectionSpringInhibitionDelaySinceLastIceEvasion_days;Maximum delay (in days/cycles) since the last ice evasiondate to attempt a surfacing.  This is often called the 'Spring', where the float stays underwater for a time even though the temperature has warmed.
ICE.P4;Period of 1st forcing ascent (days);Period of 1st forcing ascent (days);CONFIG_AUX_IceDetectionMaxDaysNoTransmissionBeforeFirstForcedAscent_NUMBER;Maximum delay (in days) of no transmission before the fisrt forced ascent. This parameter is used to disable the ice detection algorithmand force the float to surface even if ice is detected.
ICE.P5;Period of next forcing ascent (days);Period of next forcing ascent (days);CONFIG_AUX_IceDetectionMaxDaysNoTransmissionBeforeFollowingForcedAscent_NUMBER;Maximum delay (in days) of no transmission before the followin forced ascent. This parameter is used to disable the ice detection algorithmand force the float to surface even if ice is detected.
ICE.P6;"Depth for ""slow down"" speed of ascent (dbar)";"Depth for ""slow down"" speed of ascent (dbar)";CONFIG_AscentSpeedStartPressureThresholdForSlowPhase_dbar;Pressure threshold to start the slow ascent speed phase.
ICE.P7;“Slow down” speed (cm/s);“Slow down” speed (cm/s);CONFIG_AUX_IceDetectionSlowAscentSpeed_cm/s;Slow ascent  speed during ice detection phase.
ICE-ISA.P0;Enable/disable ISA detection;Enable/disable ISA detection;CONFIG_AUX_EnableIceDetectionIsa_LOGICAL;Enable/disable ISA step of ice detection.
ICE-ISA.P1;Collection starting depth (dbar);Collection starting depth (dbar);CONFIG_IceDetectionMixedLayerPMax_dbar;Maximum sampling pressure used by ice cover detection algorithm. i.e. start pressure threshold for ice detection algorithm)
ICE-ISA.P2;Collection stopping depth (dbar);Collection stopping depth (dbar);CONFIG_IceDetectionMixedLayerPMin_dbar;Minimum sampling pressure used by ice cover detection algorithm. (i..e end pressure threshold for ice detection algorithm)
ICE-ISA.P3;Median temperature threshold (°C);Median temperature threshold (°C);CONFIG_IceDetection_degC;Ice temperature in [degree Celsius/1e3] where profiles are aborted because of ice formation conditions
ICE-ISA.P4;Successive detections counter threshold;Successive detections counter threshold;CONFIG_IceDetectionConsecutiveDetectionBeforeFloatSurfaceInhibition_NUMBER;Number of consecutive ISA detections before float surface inhibition.If fewer consecutive ice detections are made, then the float will immediately seek the surface if mixed layer temp is warm.
ICE-HANGING.P0;Enable/disable hanging detection;Enable/disable hanging detection;CONFIG_AUX_EnableIceDetectionHanging_LOGICAL;"Enable/disable ""hanging"" step of ice detection."
ICE-HANGING.P1;Maximum volume before considering a hanging (cm3);Maximum volume before considering a hanging (cm3);CONFIG_IceDetectionNoVerticalMotionTimeOut_cm^3;When the float is in ice detection mode if, despite of pump actions, no vertical motion is detected during this delay, the cycle is aborted.
ICE-HANGING.P2;Speed stabilization (cm/s);Speed stabilization (cm/s);CONFIG_AUX_AscentSpeedForIceDetectionHanging_cm/s;Ascent speed threshold to check for a possible hangind of the float during ice detection phase.
ICE-HANGING.P3;Pressure delta to flow back (dbar);Pressure delta to flow back (dbar);CONFIG_AUX_AscentStartPressureDiffThresholdForIceDetectionHanging_dbar;Pressure difference threshold at ascent start to be sure that start of ascent is not considered as a hanging.
ICE-SAT_MASK.P0;Enable/disable satellite mask detection;Enable/disable satellite mask detection;CONFIG_AUX_EnableIceDetectionSatMask_LOGICAL;"Enable/disable ""satellite mask"" step of ice detection."
SELFTEST.P0;Minimum voltage of battery (V);Minimum voltage of battery (V);CONFIG_AUX_SelfTestMinBatteryVoltage_volts;Minimum battery voltage for successful self test.
SELFTEST.P1;Minimum external pressure (dbar);Minimum external pressure (dbar);CONFIG_AUX_SelfTestMinExternalPressure_dbar;Minimum external pressure for successful self test.
SELFTEST.P2;Maximum external pressure (dbar);Maximum external pressure (dbar);CONFIG_AUX_SelfTestMaxExternalPressure_dbar;Maximum external pressure for successful self test.
SELFTEST.P3;Minimum internal pressure (mbar);Minimum internal pressure (mbar);CONFIG_AUX_SelfTestMinInternalPressure_dbar;Minimum internal pressure for successful self test.
SELFTEST.P4;Maximum internal pressure (mbar);Maximum internal pressure (mbar);CONFIG_AUX_SelfTestMaxInternalPressure_dbar;Maximum internal pressure for successful self test.
SELFTEST.P5;Minimum internal temperature (°C);Minimum internal temperature (°C);CONFIG_AUX_SelfTestMinInternalTemperature_degC;Minimum internal temperature for successful self test.
SELFTEST.P6;Maximum internal temperature (°C);Maximum internal temperature (°C);CONFIG_AUX_SelfTestMaxInternalTemperature_degC;Maximum internal temperature for successful self test.
SELFTEST.P7;Minimum internal relative humidity (%RH);Minimum internal relative humidity (%RH);CONFIG_AUX_SelfTestMinInternalRelativeHumidity;Minimum internal relative humidity for successful self test.
SELFTEST.P8;Maximum internal relative humidity (%RH);Maximum internal relative humidity (%RH);CONFIG_AUX_SelfTestMaxInternalRelativeHumidity;Maximum internal relative humidity for successful self test.
ALARMS-THRESHOLD.P0;Minimum voltage of battery (V);Minimum voltage of battery (V);CONFIG_AUX_AlarmMinBatteryVoltage_volts;Minimum battery voltage threshold to raise an alarm.
ALARMS-THRESHOLD.P1;Minimum external pressure (dbar);Minimum external pressure (dbar);CONFIG_AUX_AlarmMinExternalPressure_dbar;Minimum external pressure threshold to raise an alarm.
ALARMS-THRESHOLD.P2;Maximum external pressure (dbar);Maximum external pressure (dbar);CONFIG_PressureMaxBeforeEmergencyAscent_dbar;Emergency ascent phase start pressure (in dbars).
ALARMS-THRESHOLD.P3;Minimum internal pressure (mbar);Minimum internal pressure (mbar);CONFIG_AUX_AlarmMinInternalPressure_dbar;Minimum internal pressure threshold to raise an alarm.
ALARMS-THRESHOLD.P4;Maximum internal pressure (mbar);Maximum internal pressure (mbar);CONFIG_AUX_AlarmMaxInternalPressure_dbar;Maximum internal pressure threshold to raise an alarm.
ALARMS-THRESHOLD.P5;Minimum internal temperature (°C);Minimum internal temperature (°C);CONFIG_AUX_AlarmMinInternalTemperature_degC;Minimum internal temperature threshold to raise an alarm.
ALARMS-THRESHOLD.P6;Maximum internal temperature (°C);Maximum internal temperature (°C);CONFIG_AUX_AlarmMaxInternalTemperature_degC;Maximum internal temperature threshold to raise an alarm.
ALARMS-THRESHOLD.P7;Minimum internal relative humidity (%RH);Minimum internal relative humidity (%RH);CONFIG_AUX_AlarmMinInternalRelativeHumidity;Minimum internal relative humidity threshold to raise an alarm.
ALARMS-THRESHOLD.P8;Maximum internal relative humidity (%RH);Maximum internal relative humidity (%RH);CONFIG_AUX_AlarmMaxInternalRelativeHumidity;Maximum internal relative humidity threshold to raise an alarm.
ALARMS-THRESHOLD.P9;Gap between 2 consecutive pressure requests (dbar);Gap between 2 consecutive pressure requests (dbar);CONFIG_AUX_AlarmMaxPressureDiff_dbar;Maximum difference between 2 consecutive pressures (used for navigation) to raise an alarm.
ALARMS-THRESHOLD.P10;Maximum speed on descent (cm/s);Maximum speed on descent (cm/s);CONFIG_AUX_HighDescentSpeedAlarmThreshold_cm/s;"Max threshold of descent speed before raising a ""braking"" alarm."
ALARMS-END_OF_LIFE.P0;Detection of minimum battery voltage;Detection of minimum battery voltage;CONFIG_AUX_EolMinBatteryVoltage_LOGICAL;Enable/disable to switch in EOL mode when the minimum battery voltage threshold is overshot.
ALARMS-END_OF_LIFE.P2;Detection of maximum external pressure;Detection of maximum external pressure;CONFIG_AUX_EolMaxExternalPressure_LOGICAL;Enable/disable to switch in EOL mode when the maximum external pressure threshold is overshot.
ALARMS-END_OF_LIFE.P4;Detection of maximum internal pressure;Detection of maximum internal pressure;CONFIG_AUX_EolMaxInternalPressure_LOGICAL;Enable/disable to switch in EOL mode when the maximum internal pressure threshold is overshot.
ALARMS-END_OF_LIFE.P10;Detection of maximum speed on descent;Detection of maximum speed on descent;CONFIG_AUX_EolMaxDescentSpeed_LOGICAL;Enable/disable to switch in EOL mode when the maximum descent speed threshold is overshot.
ALARMS-END_OF_LIFE.P21;Detection of insulation voltage;Detection of insulation voltage;CONFIG_AUX_EolInsulationVoltage_LOGICAL;Enable/disable to switch in EOL mode when water is detected inside the float.
META-FROM-TECH.P0;Float ID;Float ID;FLOAT_SERIAL_NO;Serial number of the float.
META-FROM-TECH.P1;Firmware version (type, version, subversion, release);Firmware version (type, version, subversion, release);FIRMWARE_VERSION;Firmware version of the float.
META-FROM-TECH.P2;Firmware checksum;Firmware checksum;CONFIG_AUX_NUMBER_VectorBoardFirmwareChecksum_NUMBER;Checksum of the vector board firmware.
META-FROM-TECH.P300201;Pressure: Min value expected;Pressure: Min value expected;CONFIG_CtdMinTransmittedPressure_dbar;Minimum value of transmitted Ctd pressure measurements (in dbars).
META-FROM-TECH.P300202;Pressure: Max value expected;Pressure: Max value expected;CONFIG_CtdMaxTransmittedPressure_dbar;Maximum value of transmitted Ctd pressure measurements (in dbars).
META-FROM-TECH.P300204;Temperature: Min value expected;Temperature: Min value expected;CONFIG_CtdMinTransmittedTemperature_mdegC;Minimum value of transmitted Ctd temperature measurements (in milli-DegC).
META-FROM-TECH.P300205;Temperature: Max value expected;Temperature: Max value expected;CONFIG_CtdMaxTransmittedTemperature_mdegC;Maximum value of transmitted Ctd temperature measurements (in milli-DegC).
META-FROM-TECH.P300207;Salinity: Min value expected;Salinity: Min value expected;CONFIG_CtdMinTransmittedSalinity_mpsu;Minimum value of transmitted Ctd salinity measurements (in milli-PSU).
META-FROM-TECH.P300208;Salinity: Max value expected;Salinity: Max value expected;CONFIG_CtdMaxTransmittedSalinity_mpsu;Maximum value of transmitted Ctd salinity measurements (in milli-PSU).
META-FROM-TECH.P300301;C1RPhase: Min value expected;C1RPhase: Min value expected;CONFIG_OptodeMinTransmittedC1Phase_angularDeg;Minimum value of transmitted Optode C1 phase measurements (in degrees).
META-FROM-TECH.P300302;C1RPhase: Max value expected;C1RPhase: Max value expected;CONFIG_OptodeMaxTransmittedC1Phase_angularDeg;Maximum value of transmitted Optode C1 phase measurements (in degrees).
META-FROM-TECH.P300304;C2RPhase: Min value expected;C2RPhase: Min value expected;CONFIG_OptodeMinTransmittedC2Phase_angularDeg;Minimum value of transmitted Optode C2 phase measurements (in degrees).
META-FROM-TECH.P300305;C2RPhase: Max value expected;C2RPhase: Max value expected;CONFIG_OptodeMaxTransmittedC2Phase_angularDeg;Maximum value of transmitted Optode C2 phase measurements (in degrees).
META-FROM-TECH.P300307;Temperature: Min value expected;Temperature: Min value expected;CONFIG_OptodeMinTransmittedTemperature_mdegC;Minimum value of transmitted Optode temperature measurements (in milli-DegC).
META-FROM-TECH.P300308;Temperature : Max value expected;Temperature : Max value expected;CONFIG_OptodeMaxTransmittedTemperature_mdegC;Maximum value of transmitted Optode temperature measurements (in milli-DegC).
META-FROM-TECH.P300401;Pressure : Min value expected;Pressure : Min value expected;CONFIG_CtdMinTransmittedPressure_dbar;Minimum value of transmitted Ctd pressure measurements (in dbars).
META-FROM-TECH.P300402;Pressure : Max value expected;Pressure : Max value expected;CONFIG_CtdMaxTransmittedPressure_dbar;Maximum value of transmitted Ctd pressure measurements (in dbars).
META-FROM-TECH.P300404;Temperature : Min value expected;Temperature : Min value expected;CONFIG_CtdMinTransmittedTemperature_mdegC;Minimum value of transmitted Ctd temperature measurements (in milli-DegC).
META-FROM-TECH.P300405;Temperature : Max value expected;Temperature : Max value expected;CONFIG_CtdMaxTransmittedTemperature_mdegC;Maximum value of transmitted Ctd temperature measurements (in milli-DegC).
META-FROM-TECH.P300407;Salinity : Min value expected;Salinity : Min value expected;CONFIG_CtdMinTransmittedSalinity_mpsu;Minimum value of transmitted Ctd salinity measurements (in milli-PSU).
META-FROM-TECH.P300408;Salinity : Max value expected;Salinity : Max value expected;CONFIG_CtdMaxTransmittedSalinity_mpsu;Maximum value of transmitted Ctd salinity measurements (in milli-PSU).
META-FROM-TECH.P300410;Coils temperature: Min value expected;Coils temperature: Min value expected;CONFIG_AUX_TEMP_CtdMinTransmittedCoilsTemperature_mdegC;Minimum value of transmitted Ctd coils temperature measurements (in milli-DegC).
META-FROM-TECH.P300411;Coils temperature: Max value expected;Coils temperature: Max value expected;CONFIG_AUX_TEMP_CtdMaxTransmittedCoilsTemperature_mdegC;Maximum value of transmitted Ctd coils temperature measurements (in milli-DegC).
META-FROM-TECH.P300413;Salinity corrected: Min value expected;Salinity corrected: Min value expected;CONFIG_AUX_PSAL_CtdMinTransmittedSalinityCor_mpsu;Minimum value of transmitted Ctd salinity corrected measurements (in milli-PSU).
META-FROM-TECH.P300414;Salinity corrected: Max value expected;Salinity corrected: Max value expected;CONFIG_AUX_PSAL_CtdMaxTransmittedSalinityCor_mpsu;Maximum value of transmitted Ctd salinity corrected measurements (in milli-PSU).
META-FROM-TECH.P600201;Serial number;Serial number;SENSOR_SERIAL_NO;Serial number of the Aanderaa4330 sensor.
META-FROM-TECH.P600308;Sensor’s serial number;Sensor’s serial number;SENSOR_SERIAL_NO;Serial number of the RBRargo3 sensor.
